URL,TEXT,AUTHOR_NAME,nn,AUTHOR_NICK,Followers.at.Posting,Post.Created,Post.Created.Date,Post.Created.Time,Type,Total.Interactions,Likes,Comments,Views,Like.and.View.Counts.Disabled,Link,Photo,Title,Image.Text,Sponsor.Id,Sponsor.Name,Total.Interactions.weighted,Overperforming.Score,GRAU_OFENSA,TIPO_RETORIC,DESINFO,BRINCADEIRA,GÊNERO,ORIENT.SEX,RACA,APARENCIA,ORIGEM.GEO,COND.FISIC,COND.SOC,RELIG,POL.IDEOLOG,COMENTARIO,OBSERVACOES
https://www.instagram.com/p/CUNjxGtrJ1u/,"Lamentável! Três irmãos que decidiram não tomar a vacina contra a covid morreram em decorrência da doença em um intervalo de apenas oito dias. Deneci Carboni Pedro, de 51 anos, morreu ontem após 21 dias internada na UTI (Unidade de Terapia Intensiva). Seus irmãos Valdir e Denilde Carboni Pedro, de 49 e 52 anos, morreram no dia 13 de setembro. Os três são naturais da cidade de São João do Sul, no sul de Santa Catarina. ""Elas [Deneci e Denilde] não quiseram a vacina por falta de informação, falta de divulgação dos motivos para tomar. Como tinham diabetes, elas tinham medo de tomar e complicar a saúde delas"", explicou o irmão Altair Carboni Pedro, de 55 anos, em entrevista ao UOL. Ele disse que Valdir não tomou a vacina, pois precisava trabalhar: ""Ele, inclusive, foi o primeiro a falecer"". Os três irmãos, que moravam muito próximos, na Vila de Santa Catarina, comunidade rural de São João do Sul (SC), se infectaram junto a ao menos outros 12 familiares, disse Altair. No final de agosto, eles já estavam internados, sendo transferidos para UTIs de um hospital da cidade de Sombrio (SC). ""Essas pessoas não fizeram a [imunização da] vacina. Eles escolheram. [...] Então foram contaminadas. Não só eles, mas outras pessoas da família também"", disse ao UOL, Rejane Elíbio, secretária municipal de saúde em São João do Sul (SC). Último a ser internado, Valdir foi o primeiro a vir a óbito, às 5h da manhã de 13 de setembro. Denilde morreu às 14h30, enquanto a família se preparava para sepultar o irmão dela. Ao contrário dos filhos, o pai, de 86 anos, e a mãe, de 81, já estavam imunizados. ""Eles tiveram covid na mesma época, porém eles eram vacinados"", ressalta Altair, acrescentando que eles estão bem agora.",problematizadoras,1,PROBLEMATIZADORAS,243402,2021-09-24 13:56:01 BRT,2021-09-24,13:56:01,Photo,5576,5447,129,0,FALSE,https://www.instagram.com/p/CUNjxGtrJ1u/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/242760659_382735729975682_287584524589325378_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=sZOEG8KecfIAX-CBp17&_nc_oc=AQm1DsopfBPS7zJChLL_I-8teH_Nlog6CRr2C49-l-2GmJrx6dx7OqDtDkyLDq0qydU&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=00_AT9ibD0imfubJAACNNqcMqd1X5EF24pYNpChNzqamG1jbA&oe=6243630F,NA,Três irmãos deixam de tomar vacina e morrem de covid em intervalo de 8 dias,NA,NA,5576,-1.11,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/tv/CUsWH23lqZI/,"Nossos filhos e filhas do Amapá não estão sozinhos nessa luta.  Saibam que toda nossa aguerrida bancada federal do Amapá já está mobilizada em favor dos indeferidos no sistema de cotas pela banca avaliadora da UNIFAP .
#FillhoseFilhasDoAmapa
@davialcolumbre
@lucasbarretosenador
@randolferodrigues
@dep_alinegurgel 
@dep.federal_andreabdon
@acaciofavacho 
@camilocapiberibepsb 
@viniciusgurgel_
@dep_ledasadala 
@profmarcivania",pedrodalua80,2,Pedro DaLua,N/A,2021-10-06 12:53:57 BRT,2021-10-06,12:53:57,Video,281,244,37,2186,FALSE,https://www.instagram.com/tv/CUsWH23lqZI/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/244389375_597769154984526_8055605243687585380_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Z85IspOXGDoAX_DwnnH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-bIXpvEs3v8YzFLl03Lsa8GD7Rca9q9jMjotVtzPmIUQ&oe=628D6148,NA,NA,NA,NA,281,2.68,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/p/CRoPCkENJju/,"A presidenta nacional do PT, deputada Gleisi Hoffmann, e o presidente do PT Paraná, deputado @arilsonchiorato convocam todos e todas para o próximo ato #ForaBolsonaro, neste sábado, dia 24 de julho! ✊",gleisihoffmann,3,Gleisi Hoffmann,483852,2021-07-22 09:00:26 BRT,2021-07-22,09:00:26,Video,2160,2042,118,8622,FALSE,https://www.instagram.com/p/CRoPCkENJju/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/222445692_3994711233991204_3352974308040769171_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=fHUNpNoZw5wAX8_qmbA&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8ckq31HXa3thBb8rYXLYMp3_g0DGaJLkKo507XHkpFZw&oe=62556F89,NA,NA,NA,NA,2160,-1.37,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/p/CSVQQhqNGRd/,"A Deputada Bia Kicis deve apreciar um pedido para que a Câmara torne a prisão do Deputado Federal Daniel Silveira ilegal, a Deputada Alê Silva foi ao seu Twitter e disse que o pedido já foi despachado para apreciação da casa nas próximas horas e que alguns deputados estão se mobilizando como o Major Vitor Hugo.

.

.

Confira a matéria na íntegra no nosso site.
Link na Bio 👉🏼 @terrabrasilnoticias_",juniormeloterra2,4,Junior Melo (Terra Brasil),N/A,2021-08-08 20:36:41 BRT,2021-08-08,20:36:41,Photo,2010,1903,107,0,FALSE,https://www.instagram.com/p/CSVQQhqNGRd/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/235319548_3086984174916460_5909635322540026084_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=cMAmuSkVKGgAX8vv-Eb&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8mxl55ncf030zqXKArarfbH2NL-8VDZThG-vGW2iu5bQ&oe=62537954,NA,""" CÂMARA DOS DEPUTADOS DEVE INTERVIR PARA SOLTURA DO DEPUTADO DANIEL SILVEIRA @terrabrasilnoticias_",NA,NA,2010,0,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/p/CW-8KTVOEsX/,"#DigaSim! Na terça-feira, 8/12, o @mdb_nacional estará reunido no lançamento da candidatura da nossa senadora @simonetebet para a presidência da república. Convocamos toda a militância para participar desse momento incrível. É um marco para o #MDBMulher ter uma candidata com o preparo e a competência de Simone Tebet na disputa.

#simonetebet #politica #maismulheresnapolitica @fatimapelaes @baleia.rossi
➡️ @mdbmulheroficial",mdbsaopaulo,5,MDB SP,10454,2021-12-02 11:14:45 BRT,2021-12-02,11:14:45,Photo,6,0,6,0,TRUE,https://www.instagram.com/p/CW-8KTVOEsX/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/262956568_1072962796819262_1879989047194912799_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=v5bdxADOb0AAX-0QXCP&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=00_AT-FrrI774FY_h_-1KAAnWvsAld0umYRgj-r56GnJlkt2g&oe=6222B67E,NA,MDB 2022 LANÇAMENTO DA PRÉ -CANDIDATURA À PRESIDÊNCIA DA REPÚBLICA Simone Tebet 8/12 às 10h Hotel San Marco SHS Quadra 5 BL. C Brasília DF,NA,NA,6,-22.67,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/p/CW39oK2vtUs/,"#guerradeinformação #allandossantos #artigo220 #tercalivre #gettr #clouthub #liberdadedeexpressão #freedomofspeech

Ajude o jornalista Allan dos Santos
Assine um dos planos pagos: allandossantos.com/assine",guerradeinformacao,6,Guerra de Informação,N/A,2021-11-29 18:12:53 BRT,2021-11-29,18:12:53,Photo,32,32,0,0,FALSE,https://www.instagram.com/p/CW39oK2vtUs/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/261734449_420553886217955_8750975044245106272_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=hsjhk9FjyGQAX-fn4gI&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-ST37cws5lY0XhDNjrXr6PvtxxcwTumfEx-E7P48koBQ&oe=6213C8AD,NA,"Joice Hasselmann @joicehasselmann Se o STF der uma liminar para garantir a liberdade de Lula até o julgamento do mérito do HC podemos fazer uma vaquinha, comprar pregos e martelos e fechar as portas do Supremo. Translate Tweet 17:55 22/03/18 Twitter for iPhone",NA,NA,32,-17.28,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/p/CX492_st8oZ/,"🌐 Istoé

A deputada Talíria Petrone (PSOL-RJ) quer descriminalizar a prática de “furtos por necessidade”. O projeto, de número 4540/2021, foi assinado por toda bancada do PSOL na Câmara.

Atualmente, já existe no código penal o “princípio da insignificância”, que determina a não punição de crimes que geram uma ofensa irrelevante ao bem jurídico protegido pela lei. No entanto, o indivíduo responsável pelo ato delituoso passa por todo ordenamento jurídico — o que inclui a prisão — até que um juiz dê a palavra final.

No caso do projeto da deputada de extrema-esquerda  que prevê o fim desse processo jurídico em que o responsável pelo furto é submetido, mesmo cometendo um ato delituoso, a pessoa responsável por tal furto não seria  presa. O texto foi elaborado em parceria com o Laboratório de Críticas e Alternativas à Prisão (Labcap), defensores que fazem parte do Núcleo Especializado de Situação Carcerária da Defensoria Pública de São Paulo, Conectas Direitos Humanos, a Coordenação de Defesa Criminal da Defensoria Pública do Rio e a Coordenação de Política Criminal da Associação Nacional de Defensoras e Defensores Públicos.

A proposta cria as figuras jurídicas do “furto por necessidade”, definido como “quando a coisa for subtraída pelo agente, em situação de pobreza ou extrema pobreza, para saciar sua fome ou necessidade básica imediata sua ou de sua família” e também insere no código o “furto insignificante”, sem lesão relevante ao patrimônio do ofendido.

 

Por meio do Twitter, a parlamentar usou a “fome” e o “desemprego” como justificativa para protocolar um projeto dessa natureza em um país que é assolado pela impunidade.

“Fome e desemprego estão assolando nosso país como há muito tempo não víamos. Com um governo que nada faz para combater isso e da alta dos alimentos e itens básicos, nossa mandata protocolou o PL 4540/2021, para que furto por necessidade e furto insignificante não sejam crimes” — escreveu Petrone

A deputada Talíria Petrone (PSOL-RJ) quer descriminalizar a prática de “furtos por necessidade”. O projeto, de número 4540/2021, foi assinado por toda bancada do PSOL na Câmara.

Atualmente, já existe no código penal o “princípio da insignificânc",markoszaurelio,7,Markos Zaurelio,11974,2021-12-25 00:05:32 BRT,2021-12-25,00:05:32,Photo,58,48,10,0,FALSE,https://www.instagram.com/p/CX492_st8oZ/,https://scontent-den4-1.cdninstagram.com/v/t51.29350-15/270052926_147585124286060_6289622935007882648_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=zxWAuX9_ZwEAX-cWZzo&_nc_ht=scontent-den4-1.cdninstagram.com&oh=00_AT-4addtYRwr2RuiK4DuxhyrjBxHP-XGxKS9ezhTHp3kVw&oe=627617EC,NA,"NOTÍCIA Projeto de deputada prevê o ""furto por necessidade"" sem punição pelo Código Penal NA NOSSA FRENTE Voe! Portal NZ Markos f",NA,NA,58,-1.88,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/p/CXOMaIcLtR8/,"HOJE TEM MENGÃO NA FINAL DO CARIOCA FEMININO SUB-18!

Às 15h, as #MeninasDaGávea enfrentam o Fluminense, nas Laranjeiras, com transmissão da FlaTV. 

VAMOS EM BUSCA DO TÍTULO! PRA CIMA DELAS! #VamosFlamengo",timeflamengo,8,Time Flamengo,1644279,2021-12-08 09:25:20 BRT,2021-12-08,09:25:20,Photo,1989,1972,17,0,FALSE,https://www.instagram.com/p/CXOMaIcLtR8/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/264811114_274432304708231_2305432296658353893_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=yuRYF4SuDWsAX_WWbbM&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT_zHLjs6UNs21rb_OKVJM5YP1lg7BrXYRfMK3NMClGwIA&oe=6241AB0C,NA,HOENGAO TEM NA FINAL! CAMPEONATO CARIOCA DE FUTEBOL FEMININO SUB-18 FLUMINENSE FLAMENGO LARANJEIRAS 08/12 15H Narração: EMERSON SANTOS Comentários:MARINADAMAS MARINA Comentários: Reportagens: JULIE SANTOS R TRANSMISSÃO: FlaTv f,NA,NA,1989,-3.09,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/p/CXbXsd5LCW1/,"Hoje a Santa Igreja celebra a memória de Santa Luzia de Siracusa, virgem e mártir do início do século IV, e Padroeira dos oftalmologistas e dos que sofrem de problemas de visão.

Morta no período da grande perseguição aos cristãos desencadeada pelo imperador romano Diocleciano, Luzia (às vezes chamada de Lúcia), sofreu as torturas mais cruéis e desumanas para que renegasse sua fé, mas sempre recebia o auxílio sobrenatural de Deus, de modo que jamais era atingida pelos castigos que tentavam lhe infligir. 

Teve então seus olhos arrancados, e estes miraculosamente nasceram novamente.

Reafirmando sua fé e lealdade ao único Deus verdadeiro, Luzia foi decapitada a 13 de dezembro do ano 304. Contava com apenas 21 anos de idade a santa que se consagrara totalmente a Deus, e cuja fidelidade, constância e fortaleza hoje celebramos.

Santa Luzia, rogai por nós!",christonietto,9,Chris Tonietto,79659,2021-12-13 12:14:05 BRT,2021-12-13,12:14:05,Photo,524,513,11,0,FALSE,https://www.instagram.com/p/CXbXsd5LCW1/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/267095198_3164010533839780_5878511558047017388_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=NV2NF2kCs6AAX9ZU_D-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT_znaoU462BU1WaMI2UmIVapIgWG8gr7chXRmCvQf4DeQ&oe=624F9870,NA,CHRIS TONIETTO Deputada TONIETTO ederal MEMÓRIA DE SANTA wzia,NA,NA,524,-1.21,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
https://www.instagram.com/tv/CWLMOiWDg7R/,"Sabemos que boas lembranças devem ser compartilhadas e, por isso, hoje vamos relembrar um pouco do que a RE/MAX Brasil preparou para os corretores de imóveis na Semana Máximo Serviço. Foi uma semana intensa e cheia de conteúdo para a rede. Teve sorteio de ingressos para a C7 presencial, para o Summit Corretores e vouchers para usar na Loja Max Brindes. 

Mas não foi só isso não! Teve também muitas palestras especiais com Carol Portilho - Especialista em Linguagem Corporal e Neurolinguística, Sandra Canellas - Corretora Empreendedora e Team Leader da RE/MAX Rede Pro III, Gabriel Villarreal - Sócio fundador da Four Keys Treinamentos, Glauce Santos - Master Regional Rio de Janeiro Zona Norte e convidadas: Wânia Costa - Corretora Empreendedora RE/MAX Gol e Daniela Albino - Broker - RE/MAX Sun, Marco Aurélio - Corretor Empreendedor RE/MAX Imobi, Gabriel Sperandio Milan - Professor e pesquisador na Unisinos, Eliane Ribeiro - Corretora Empreendedora e Team Leader Grupo Latina, Fábio Said - Corretor Empreendedor da RE/MAX RedeWe, Fernando Massucci - Broker RE/MAX Xavante, Elisa Cais - Corretora Empreendedora da RE/MAX Jardins,�Edinaldo Rodrigues - Diretor Regional RE/MAX SP Capital, Lara Branco - Idealizadora do Rico É Quem Tem Tempo e claro, as participações mais do que aguardadas de nosso Presidente e CEO da RE/MAX Brasil, Peixoto Accyoli e nosso garoto-propaganda, Celso Portiolli!

Conta pra gente aqui nos comentários qual foi a sua palestra preferida e do que você mais sente saudade deste evento!",remaxbr,10,Franquia Imobiliária,N/A,2021-11-12 08:57:23 BRT,2021-11-12,08:57:23,Video,40,37,3,273,FALSE,https://www.instagram.com/tv/CWLMOiWDg7R/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/255979433_4516132505174235_3302911282348535993_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=8ae9d6&_nc_ohc=dMTvcG__QLEAX95ogUi&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=00_AT_eIrlBql_E8izHeSfLGXRomB8Ya5A-yJTjAIlg2hPWew&oe=6249D1C8,NA,SEMANA MAXIMO SERVICO RE MAX,NA,NA,40,-2.45,Não Ofensivo,Outra,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
