MENTION,position,situation,votes,party,state,region,term,age,Twitter,twitter_followers,Facebook,facebook_followers,Instagram,instagram_followers,YouTube,youtube_link,youtube_followers,Site,variations
Margarida Salomão,Deputada Federal,Não está em exercício,,PT,MG,Sudeste,,,,,,,,,,,,,
Maria do Carmo Alves,Senadora,Não está em exercício,,PROGRESSISTAS,SE,Nordeste,,,,,,,,,,,,,
Gorete Pereira,Deputada Federal,Não está em exercício,,PL,CE,Nordeste,,,,,,,,,,,,,
Flavia Arruda,Deputada Federal,Titular em exercício,,PL,DF,Centro-Oeste,,,,,,,,,,,,,
Adriana Ventura,Deputada Federal,Titular em exercício,64.341,NOVO,SP,Sudeste,fev-2019/jan-2023,52,@adriventurasp,23.340,Adriana Ventura ,18.864,@adriventurasp,"17,3 mil",UC4CLvdtnUGoq39PYcToSOSw,https://www.youtube.com/channel/UC4CLvdtnUGoq39PYcToSOSw,1.320,,"Adriana Ventura, Adriana Miguel, Adriana Vemtura, adriventurasp"
Alê Silva,Deputada Federal,Titular em exercício,47.662,UNIÃO,MG,Sudeste,fev-2019/jan-2023,46,@alesilva_38,129.345,Alê Silva,81.887,@alesilva.oficial,"52, 7 mil",UCWGscB8R2ecnNrdr_UCmaRA,https://www.youtube.com/c/Al%C3%AASilvaOficial/videos,2.240,,"Alê Silva, AlêSilvaOficial, alesilva.oficial, @alesilva_38"
Alice Portugal,Deputada Federal,Titular em exercício,126.031,PCdoB,BA,Nordeste,fev-2019/jan-2023,61,@Alice_Portugal,25.475,Alice Portugal,79.222,@aliceportugal,"26,7 mil",UCwXQiSit2nn-ggtnVF-Hz0w,https://www.youtube.com/user/depaliceportugal,833,,"Alice Portugal, depaliceportugal, Alice_Portugal"
Aline Gurgel,Deputada Federal,Titular em exercício,16.519,REPUBLICANOS,AP,Norte,fev-2019/jan-2023,40,@dep_alinegurgel,5.438,Aline Gurgel,15.888,@dep_alinegurgel,"22,1 mil",UC7v2Ng9B1UAxhEypPw5cEag,https://www.youtube.com/channel/UC7v2Ng9B1UAxhEypPw5cEag,24,,"Aline Gurgel, dep_alinegurgel, Aline gurjel, Aline Paranhos Varonil, Alline Gurgel, Alinne Gurgel"
Aline Sleutjes,Deputada Federal,Titular em exercício,33.628,UNIÃO,PR,Sul,fev-2019/jan-2023,41,@AlineSleutjes,56.123,Deputada Federal Aline Sleutjes ,49.526,@alinesleutjes,"43,7 mil",UCcryiDLj86mGK2kPc4idoGg,https://www.youtube.com/c/AlineSleutjesOficial/videos,982,,"Aline Sleutjes, AlineSleutjesOficial        Aline Sletjes, Aline Sluetjes, Aline Sleutje, Aline Sleutjs, Aline Sluetjs,     Aline Sluetje, aline seutjes, aline sletjes, aline sleujes, aline sleutes"
Ângela Amin,Deputada Federal,Titular em exercício,86.189,PROGRESSISTAS,SC,Sul,fev-2019/jan-2023,67,@DeputadaAngela,713,Angela Amin ,18.163,@angelaaminoficial,"14,7 mil",UCL1HjOmp6cF9lekm8qmGxRA,https://www.youtube.com/channel/UCL1HjOmp6cF9lekm8qmGxRA,869,,"Ângela Amin, DeputadaAngela, angelaaminoficial, Angela Amim, Ângela amim, Angela Anim, Angela Anin"
